station_name,station_city,station_geopos,station_capacity,station_id
Rita Road,Chicago,42.01844445966718::-87.80360212208528,48,2876
Preston Ridge Trail,Dallas,32.64846300951622::-96.85670618886147,7,1724
Phelps Street,San Francisco,37.7526600684804::-122.4625466144139,14,2867
Whipporwill Drive,Dallas,32.69745795504932::-96.78777211242435,7,2208
79th Street,New York,40.9049937445149::-73.83255895220519,19,3507
Figueroa Place,Los Angeles,34.02316857156578::-118.2668416182717,43,2678
8261 Durham Drive,Dallas,33.08790750989647::-96.79329300968469,34,1355
Paloma Street,Los Angeles,34.27626144513139::-119.101387652386,33,2049
4301 West Ferdinand Street,Chicago,42.10098607979617::-88.02561940010226,7,118
Blink,San Francisco,37.67035938478512::-122.4079196555568,7,3741
Southwest 3rd Avenue,Miami,26.65920861649239::-80.22201842862678,21,2538
Vermont Place,New York,40.73299751751904::-73.88050786314778,7,3254
Morris Park Facility,New York,40.72563265656611::-73.88952233232199,29,2210
Interpretive Shelter,Seattle,47.6771875872087::-122.3066565951349,7,328
California Lane,Dallas,32.73326184579694::-96.67791660735384,14,2412
,Seattle,47.79302564057793::-122.3247313846891,16,927
Yermo Street,Los Angeles,34.1137225813245::-118.1258511825667,24,3582
Northeast 147th Place,Seattle,47.56492777306689::-122.3167732474505,7,2849
43-49 41st Street,New York,40.69348897159137::-73.75227743738066,42,2935
North Western Avenue,Chicago,41.87118770662719::-87.6710792171672,17,897
Deer Path Lane,Miami,25.77949637922802::-80.17772654761684,20,1654
West 133rd Street,Los Angeles,33.88822484108884::-118.1501327631911,34,1549
West Los Angeles Avenue,Los Angeles,34.28129727633764::-118.6291627676549,20,1510
,Miami,26.12980909424363::-80.10846647335846,14,3198
Bay Ridge Avenue,New York,40.91351917742884::-73.81664976214282,44,1506
1623 East 28th Street,New York,40.72717935089344::-73.91774560814407,7,1084
4635-4637 North Paulina Street,Chicago,41.99091010426667::-87.74650103834941,19,1103
232nd Street Southwest,Seattle,25.60237985099467::-80.41991485008586,7,2325
Barrymore Drive,Los Angeles,33.83863912952831::-118.2065486212241,7,3561
North Seeley Avenue,Chicago,42.06754666269877::-87.92317880344399,7,2691
Darien Way,San Francisco,37.79165965361644::-122.3975471933483,7,971
Colle Drive,Miami,26.08640882588738::-80.38815763757269,25,2771
Clement Street,San Francisco,37.66154710160699::-122.4780187549821,7,2334
Horizon Tributary Trail,Denver,40.04691478453523::-104.9877093571506,21,39
100-120 South Wacker Drive,Chicago,41.92093601616305::-87.66165565161549,7,3655
Mc Cormick Street,Los Angeles,34.14895975369387::-118.9646107183407,37,2613
Northeast 170th Lane,Seattle,47.65729016665313::-122.3013883162572,7,1726
Hawthorne Avenue,San Francisco,37.76667160771991::-122.477552364892,14,2626
Westgate Avenue,Miami,26.64020353402348::-80.05061909413007,31,3742
North Monterey Street,Los Angeles,34.00728752693796::-118.1155876100377,17,1820
Alhambra Lake Circle,Miami,26.09163189345569::-80.23019846414985,21,2545
Ronne Drive,Dallas,32.95062333078556::-96.88101576587954,29,1199
Parkrow Place,Dallas,32.8551269240911::-96.94567965792443,20,3078
191 Meserole Street,New York,40.73864147008796::-73.94768662732477,7,3752
High Point Drive,Dallas,32.77057085940762::-96.90364079768439,7,1605
Richland Avenue,San Francisco,37.69264551826072::-122.4217669997435,7,1222
7330 164th Avenue Northeast,Seattle,47.5501295600784::-122.3839561508823,7,1162
Lockmoor Lane,Dallas,32.85539585427463::-96.95088686779042,35,2343
Maria Theresa Avenue,Miami,25.62598411414155::-80.32242972560385,21,1982
27th Street,San Francisco,37.74965923462694::-122.4896583342528,9,3609
1520-1530 West Pershing Road,Chicago,41.85639023884465::-87.66294678047704,14,2038
3021 Northwest 89th Street,Seattle,26.60295866842193::-80.06867147466133,7,2473
33rd Avenue,San Francisco,37.78662785990927::-122.4633045190948,33,3140
Liberty Street,San Francisco,37.66536298662093::-122.3954396388719,28,2129
Northwest 163rd Street,Miami,26.61681842205461::-80.12911850635714,36,2551
North Western Avenue,Chicago,41.88335768424742::-87.65883226737907,7,273
4153 North Keystone Avenue,Chicago,41.92433115816094::-87.62626220760444,7,2800
International Parkway,Dallas,32.72971586572259::-97.02538045628606,31,2983
159th Street,New York,40.74703719588283::-73.83678627957144,7,2821
Guadalupe Canyon Parkway,San Francisco,37.77821984829437::-122.4507156665934,7,223
King County Interurban Trail,Seattle,47.70423560356384::-122.3132014987779,7,2527
Turnberry Circle,Seattle,47.6330862731465::-122.1299341156514,7,650
South Mountain Road,Los Angeles,34.24193284954721::-118.5901101878549,7,3642
Southeast 51st Street,Seattle,47.56732917110851::-122.3481775100997,7,2942
South Hoyne Avenue,Chicago,41.85574873798018::-87.70397806183907,28,1876
Mower Reservoir,Denver,39.90648231441719::-104.8840843350186,23,46
White Rock Creek Trail,Dallas,32.84686641608229::-96.99854593903996,7,521
North Grape Avenue,Los Angeles,34.33501800810713::-118.8424433092032,7,1969
Kent Drive,Dallas,32.72266779109912::-97.03762681097119,23,2394
Southeast 27th Place,Seattle,26.03777109805379::-80.12418976742737,3,2808
11th Avenue,San Francisco,37.74405944901077::-122.3896985595516,22,1374
1232 North La Salle Boulevard,Chicago,42.00946243551044::-87.74492052527343,1,1381
4th Avenue South,Seattle,47.64675607041988::-122.1696788268546,24,612
Nutmeg Court,Chicago,42.00946243551044::-87.74492052527343,17,3077
Country Valley Road,Los Angeles,33.9029883293212::-117.972613194959,0,2084
Southwest 27th Lane,Seattle,47.48995980195923::-122.1616161386393,21,1069
Northeast 12th Terrace,Miami,25.79715384419191::-80.3849369897564,45,2037
2131 North Wayne Avenue,Chicago,41.93808768684753::-87.77955973363014,7,1095
Lippear Ranch Road,Los Angeles,34.20527802699306::-118.3795979100893,7,1893
Sequoia Avenue,Los Angeles,34.20573453918449::-118.8855589984542,33,1006
,Seattle,47.54252252635603::-122.3923081161363,32,3335
Elm Drive,Seattle,47.76974704147396::-122.2084586511236,22,2677
State Highway 360,Dallas,32.68246812106776::-97.00275701673877,12,3004
Corporate Drive East,Dallas,32.79291103952024::-96.74519958701018,23,2324
Creek Bend Road,Dallas,32.77131486882028::-96.9388306390598,12,2532
Bayshore Freeway,San Francisco,37.73203283873441::-122.4899398309798,17,3099
Stockton Road,Los Angeles,34.11807619649095::-118.843578689822,7,2963
Fuel Tender Road,Miami,25.88375279067313::-80.35018717008356,7,681
Caselli Avenue,San Francisco,37.68878341187761::-122.4101079389332,7,658
Powells Cove Boulevard,New York,40.84320047671126::-73.85584945653055,7,606
5018 North California Avenue,Chicago,41.81751007384063::-87.71465950948638,8,1203
156th Street,New York,40.73864147008796::-73.94768662732477,25,1777
2440 South Damen Avenue,Chicago,41.89249399613484::-87.73507627779972,7,2405
1113 Northwest 57th Street,Seattle,47.6743537304587::-122.3368611332485,26,2579
Langdon Road,Dallas,33.07285142997245::-96.71569482485302,0,3216
Hayes Street,San Francisco,37.76751905203692::-122.4873577490028,39,551
Norwich North,Miami,26.13301197231828::-80.22355639802963,7,738
South 208th Street,Seattle,47.6175330716504::-122.1560512460691,7,1461
30th Avenue,San Francisco,37.74297370118095::-122.4886978551286,29,2306
West 14th Street,Chicago,41.89795309627972::-87.75136686590115,25,400
Gregory Street,New York,40.63090227869987::-73.93850710419343,7,881
Baker Avenue,Dallas,32.69540353587756::-96.72916976269738,2,1635
Southwest 12th Street,Miami,26.53952962565876::-80.16007746214621,7,3549
2218 West Thome Avenue,Chicago,41.92093601616305::-87.66165565161549,7,1123
Sheridan Street,Miami,26.87100400100109::-80.0699712077722,29,218
,San Francisco,37.79588338135945::-122.4277463266222,13,2744
Bruckner Expressway,New York,40.68552685059093::-73.96563058340895,7,766
Forest Knolls Drive,San Francisco,37.75848874210222::-122.4855692937511,4,3029
Northwest 66th Street,Miami,26.90465726192681::-80.12509965172646,7,2321
Lake Carolyn Promenade,Dallas,32.77899200458958::-97.21748392981974,14,3649
2435 West Belmont Avenue,Chicago,42.00253782842015::-87.67307018458736,25,3059
1383 West Lake Street,Chicago,42.09812550983748::-88.02971635302853,7,484
North Cottonwood Valley Circle,Dallas,32.87576325557881::-96.96245019704364,2,3729
Rodman Walk,New York,40.611711524205::-73.94689845795018,56,3337
149-23 16th Road,New York,40.66236496012598::-73.91512378367744,7,1464
Pueblo Street,San Francisco,37.6258650944079::-122.4043476270298,42,1237
Hondo Canyon Trail,Los Angeles,33.86244529416271::-118.3040603700706,21,2066
Parson Drive,San Diego,,2,7
Municipal Pier,San Francisco,37.65716365869682::-122.4062421805599,25,2612
Stage Road,Los Angeles,34.20226254883116::-119.0308798081865,27,960
2600 Northwest Market Street,Seattle,47.75186949956732::-122.3340582480107,25,2774
Perimeter,Dallas,32.72491225229353::-96.76739137291692,20,3525
Oneida Avenue,Chicago,42.11550786601954::-88.10389073192464,14,984
Crystal Lake Drive,Miami,26.08588056034486::-80.17311670705347,18,580
North Albany Avenue,Chicago,42.06548991304423::-87.93145392358669,7,2789
East 57th Street,Los Angeles,34.13180546668097::-118.6686790041534,35,2834
39th Avenue,San Francisco,37.77026646838337::-122.4225836259893,7,102
Northwest 137th Avenue,Miami,26.59442936575729::-80.16924026150862,32,548
140th Avenue Southeast,Seattle,47.61031497465185::-122.1688429670921,13,274
Southeast 14th Street,Seattle,47.62808558001082::-122.1528174354175,7,1863
15th Avenue,New York,40.71740459735343::-73.86224835391148,32,3012
42-05 64th Street,New York,40.78571145275365::-73.75973053620238,7,3037
South Tyler Street,Dallas,32.75531629221152::-96.84342811730613,7,2873
Water Treatment Plant,San Francisco,37.79312212994326::-122.4357103130988,13,2082
Wish Avenue,Los Angeles,33.90293628216694::-118.1013818737825,7,3000
Northwest 58th Avenue,Miami,26.43229508050182::-80.16816289916439,45,552
169-94 21st Road,New York,40.67987917323829::-73.9153844572695,16,2780
South 2nd Avenue,New York,40.67430720045468::-73.86199946069642,41,1722
West 16th Street,Chicago,41.94832805796726::-87.7058189406476,24,3751
Alhambra Circle,Miami,26.92041936511835::-80.12290886454392,24,1776
Tom Landry Freeway,Dallas,33.0131239716511::-96.83570167437777,7,241
2435-2449 West North Avenue,Chicago,41.90490193531223::-87.63352352678193,7,549
Geary Boulevard,San Francisco,37.77178942085106::-122.4851945607561,7,3407
2334 West Argyle Street,Chicago,41.88941948993261::-87.63895372632253,7,480
1029 East 45th Street,Chicago,41.83386704123715::-87.60651343947301,7,3377
Santa Susana Pass Road,Los Angeles,34.30591129845624::-118.8651927563731,39,1042
Lakeridge Boulevard,Miami,26.82495044874052::-80.06819461057113,53,158
Saddleback Road,Dallas,33.11573431915775::-96.77803290907842,2,2996
Ruckman Avenue,San Francisco,37.76086246638341::-122.4415638304129,3,2754
Anita Street,Dallas,32.85885532302107::-96.78723497296235,7,343
East Long Avenue,Dallas,33.13497861616663::-96.8080533477345,39,2351
East 12th Street,New York,40.71740459735343::-73.86224835391148,12,1721
5018 North California Avenue,Chicago,42.04947271663931::-87.84798430214333,7,199
Juno Ocean Walk,Miami,25.84332190724256::-80.30938871340611,33,1808
3608 North Southport Avenue,Chicago,42.034621053552::-87.89984354331536,22,1229
Ashbourne Drive,Los Angeles,34.13272351393836::-119.1172566782495,7,3111
Love Field Drive,Dallas,33.04422240733131::-96.77960812616149,22,660
Felton Street,San Francisco,37.75536052085555::-122.486392475305,52,827
,Miami,26.23615542401049::-80.17637443563856,14,2783
Texas Way,Seattle,47.56114074090281::-122.3195224071055,7,2147
North Osceola Avenue,Chicago,42.0330647879843::-87.91416809951556,20,2136
West Palatine Road,Chicago,41.9040944791486::-87.62936637841496,35,2988
232nd Street,New York,40.66061777437354::-73.91003729784464,7,1683
2nd Avenue South,Seattle,26.82495044874052::-80.06819461057113,33,695
West Parker Road,Dallas,33.2235405126463::-96.83412447359387,19,635
Okeechobee Road,Seattle,47.68276379285953::-122.317953112498,42,2495
Carob Way,Los Angeles,34.32290681512356::-118.5991788879666,7,2300
Argyle Road,New York,40.57903608725983::-73.94648778926188,7,265
36th Avenue,San Francisco,37.64654982432876::-122.4128480371437,7,1901
Pioneer Road,Seattle,47.59406287841432::-122.3502963310448,5,1120
Southwest 29th Lane,Miami,26.18182763212027::-80.23781053230029,34,1993
Martin Luther King Jr Drive,San Francisco,37.69168548453085::-122.4192800519782,7,2250
Broadway Road,Los Angeles,34.0768441096133::-118.0729785900894,13,295
Morgan Avenue,New York,40.71704299751893::-73.73967192844437,22,221
Express Lanes,Chicago,41.941388031286::-87.63404879510304,24,2436
Myra Avenue,Los Angeles,34.1916400441485::-118.7116029084865,7,703
Publix,Miami,26.46537185661276::-80.13650683724657,7,2486
East 127th Street,Los Angeles,34.27258775653172::-118.7209460138514,31,1493
Farrington Street,New York,40.73720799629719::-73.7643976949031,15,3275
Little West St & 1 Pl,New York,,25,6
1412 B Northwest 64th Street,Seattle,47.67492352461074::-122.3077469593264,7,2537
Moultrie Street,New York,40.57903608725983::-73.94648778926188,7,279
5114 7th Avenue,New York,40.67602783975479::-73.99886745933999,27,2094
Skyline Cover Marina,New York,40.65519815102727::-73.74918555509981,35,393
Snapdragon Road,Dallas,32.7900552606823::-96.87737081365347,7,2126
Bay 35th Street,New York,40.60930913349516::-73.98047415277213,30,2952
Forest Knolls Drive,San Francisco,37.75842018918443::-122.4185355359766,39,2132
,Miami,26.04241103739756::-80.13644686198394,7,3484
50-58 48th Street,New York,40.69197869909451::-73.72093810667675,38,2936
BMT Fourth Avenue Line,New York,40.69404154720229::-73.94981916466122,47,3578
West Kinzie Street,Chicago,41.8355700946039::-87.63741308418275,25,1017
Westlake Boulevard,Los Angeles,34.21943834062546::-118.4980795595789,7,2359
31st Avenue Northeast,Seattle,47.47392374204887::-122.3117498145727,21,1002
Northwest 173rd Terrace,Miami,26.58076891915933::-80.08864853665835,26,3634
Express Lanes,Chicago,42.02828810980092::-87.65380807237175,7,1009
8th Street Northeast,Seattle,47.28764133934396::-122.2592780640695,34,3334
2348 East 14th Street,New York,40.62377171857626::-73.97185509303814,14,642
Evergreen Drive,Miami,26.04421061393596::-80.27385447087059,7,2753
Liberty Street,San Francisco,37.74698122117191::-122.4414826002124,55,3470
Maybrook Avenue,Los Angeles,34.17734008632478::-118.5385145299327,39,1763
21st Lane,Miami,25.98147681445916::-80.13305858682267,8,950
Sandbar Drive,Dallas,33.07737589468603::-96.7179683334584,34,3749
Slauson Avenue,Los Angeles,34.03436356088365::-118.3449260281495,12,301
Sheridan Road,Chicago,42.11050979494315::-88.07577329187437,7,2546
Lambert Avenue,Dallas,32.69833261460357::-96.72241362758915,45,62
Junipero Serra Freeway,San Francisco,37.71906398380509::-122.4174177294969,7,2370
Hardrock Road,Dallas,33.04468591707135::-96.66142288832833,5,132
Lakefront Trail,Chicago,41.88954576699475::-87.68906613346861,12,1088
1246 Northeast 104th Street,Seattle,26.60166934985386::-80.19049174608506,44,1058
Salmon Bay,Seattle,47.74063029556584::-122.2214484241494,20,3062
Sunset Knolls Drive,Los Angeles,34.14308260937938::-118.562839499244,7,1074
Quesada Avenue,San Francisco,37.65613857658456::-122.3872988237789,34,762
West Gordon Terrace,Chicago,41.99830509032064::-87.73680838687447,8,1369
5455 North Kildare Avenue,Chicago,41.95662169146075::-87.65803733972869,7,2913
2137 Ocean Parkway,New York,40.69628281115408::-73.8718496704209,25,3456
Wallis Road,Miami,26.60295866842193::-80.06867147466133,34,3095
Bay Colony Drive,Chicago,41.85214638271103::-87.69902679943537,45,2847
West Washington Boulevard,Chicago,41.84787049699597::-87.76747124681647,35,3035
Singleton Boulevard,Dallas,32.93432401984228::-96.82204411947356,53,1907
Indiana Street,Denver,40.04341745277605::-104.9502745449171,7,97
Baymar Lane,Dallas,32.76688621260151::-97.02267306099959,7,3438
Carbon Canyon Road,Los Angeles,34.12213160230208::-118.7160061858576,7,912
Northwest 51st Court,Miami,25.99149534752961::-80.30665859336905,19,2814
55-03 137th Street,New York,40.67307484312303::-73.75379960463989,7,1099
Northeast 200th Street,Seattle,47.81926474485034::-122.2813686256669,7,3675
Muni Metro / Twin Peaks Tunnel,San Francisco,37.80730071160667::-122.4706267606447,37,377
Sandy Lake Road,Dallas,32.82002444189119::-97.22632807135825,12,323
2540 West Wilson Avenue,Chicago,41.8784125003897::-87.82824781407902,7,3013
Cypress Crescent,Miami,26.06861433926273::-80.25916445633749,16,78
Southwest 142nd Street,Miami,25.75435409389924::-80.36178157357389,24,3580
63rd Street,New York,40.58980975581737::-73.95077991249789,39,2256
Estate Lane,Dallas,32.95964750378453::-96.6982966397709,29,2417
Gonzalez Drive,San Francisco,37.75255678436234::-122.4619007484321,7,1685
Eaglemont Drive,Dallas,32.89242878175532::-96.77813191124501,40,355
Touch of Class Court,Miami,26.44549406867486::-80.12622821233514,7,3281
2015-2025 West Irving Park Road,Chicago,41.87343496232869::-87.67073671389079,20,956
West 75th Street,Miami,26.05416110431095::-80.27031508781894,12,3298
Hondo Ranch Road,Los Angeles,33.95108527937928::-118.1029705148273,35,291
Northwest 4th Street,Miami,26.04079366798096::-80.10216294807826,10,2820
South Marshall Boulevard,Chicago,42.04766510572352::-87.83170242677569,7,2601
Palo Alto Avenue,San Francisco,37.7424407084421::-122.4467997383888,33,3621
West Ann Lurie Place,Chicago,41.92093601616305::-87.66165565161549,38,3462
5th Avenue South,Seattle,47.68441456342062::-122.2967191917307,41,1485
435 Rowland Street,San Francisco,37.78247949766678::-122.4564844050003,7,3070
87-32 62nd Road,New York,40.59662887343118::-73.96048449493244,28,432
Karlov Avenue,Chicago,41.94240190818769::-87.67857052553315,30,3487
612 Kirkland Avenue,Seattle,26.60295866842193::-80.06867147466133,3,1029
John Peter Altgeld Momument,Chicago,41.94435822233116::-87.64767140544177,20,1780
Dayton Canyon Road,Los Angeles,34.25149648594609::-118.875046725169,7,1732
Coit Road,Dallas,32.90265007831174::-97.27671206677466,34,1326
North Springs Way,Miami,25.66975544320221::-80.35051266917441,18,3671
Trinity Parkway,Dallas,32.95095886459898::-96.86659508951401,7,3102
Oak Creek Canyon Loop Trail,Los Angeles,33.93202749036804::-117.9768362615206,7,2737
Teresita Boulevard,San Francisco,37.78952787549755::-122.4435509713867,44,246
4525 North Albany Avenue,Chicago,42.04753032159849::-87.87402295230609,12,3471
Corn Valley Road,Dallas,32.84091392967107::-96.88401338453755,29,186
Purple Road,Los Angeles,,11,9
South Seagoville Road,Dallas,32.80204739390035::-96.98094503558353,7,2518
544 North Harding Avenue,Chicago,42.04766510572352::-87.83170242677569,32,1889
Interlake Avenue North,Seattle,47.50476259464484::-122.3019438873898,7,311
Maybrook Avenue,Los Angeles,33.8958013277325::-117.9783073472539,0,2623
Los Feliz Drive,Los Angeles,34.21140948070035::-118.4869335750716,20,2676
Hondo Barranca Road,Los Angeles,34.00754935495562::-118.1426772749887,19,1662
Lake Merced Boulevard,San Francisco,37.75443415775475::-122.4538201675097,46,1171
Southwick Drive,Dallas,32.80383299995284::-97.36450101182014,21,668
Conservatory Drive West,San Francisco,37.7585627206998::-122.4827862978246,18,1981
2662 Ocean Avenue,New York,40.74813934728844::-73.89752286646865,1,2718
South Western Avenue,Chicago,41.93893708687986::-87.77882030151619,29,3700
South North Lake Drive,Miami,26.29659530602299::-80.2612995111822,44,3358
Stadium Drive,San Francisco,37.74640657575566::-122.4086930158434,36,335
Craig Drive,Chicago,42.00403021885171::-87.66365096968028,7,2062
Weston Road,Miami,26.83668160212573::-80.10232745207969,7,3291
Indiana Street,Denver,39.71008664943055::-104.8934457070418,7,128
North Lakewood Avenue,Chicago,41.87279695355377::-87.64699832706761,7,2939
Syracuse Drive,Dallas,32.71078830054419::-96.68879309436689,7,532
99th Street,New York,40.72481590916698::-73.69810205480485,0,2819
Saint Joseph's Avenue,San Francisco,37.75535400202536::-122.4608067306704,7,1591
264th Street,New York,40.66720799851226::-73.76039356344468,7,2196
Moorpark Coll,Los Angeles,34.02316857156578::-118.2668416182717,7,247
290 Frost Street,New York,40.7211233425169::-73.93056872318155,42,457
6101 North Washtenaw Avenue,Chicago,41.88453139409885::-87.71611169835161,7,1100
10491 East Touhy Avenue,Chicago,41.85456003465699::-87.71148882882233,9,1234
Grande Boulevard,Miami,26.26729465581114::-80.25056257850761,16,402
Talopop Trail,Los Angeles,34.24761792506467::-119.0859727393569,33,3008
Howard Avenue,New York,40.71029788350557::-73.89563670600471,34,2508
Wexford Court,Dallas,33.01327734933069::-96.77673520379905,7,1327
25th Avenue,San Francisco,37.76667160771991::-122.477552364892,34,822
Underhill Avenue,New York,40.72919810554903::-73.91347007899651,28,1832
Airline Road,Dallas,32.71816261940118::-96.78488749384785,7,1566
West 35th Street,Chicago,41.84855967308543::-87.75393140652149,16,1007
25-29 27th Street,New York,40.61993470320306::-73.95730164396731,58,880
Don Shula Expressway,Miami,26.50441508994592::-80.13168248626205,18,2816
666 West Diversey Parkway,Chicago,41.81611140320928::-87.71426089555858,34,451
Carnegie Street,Chicago,41.99233575788618::-87.71443964977753,40,2014
Lunado Way,San Francisco,37.78997324648057::-122.3938650475577,5,3343
160-16 Jamaica Avenue,New York,40.78930384495727::-73.81752382422155,6,2640
Larry and Penny Thompson Campground,Seattle,47.49214323022698::-122.3410151667876,7,2592
West Potomac Avenue,Chicago,41.96661730184868::-87.7012031509513,7,2965
Paulding Street,San Francisco,37.71490127983415::-122.4996356935736,15,2209
5531 South Russell Drive,Chicago,41.85073642199341::-87.73100388863244,17,2689
Jog Road,Miami,26.62112472627082::-80.16188423989811,8,87
Southwest 97th Street,Miami,26.43229508050182::-80.16816289916439,43,3201
1201 West Chase Avenue,Chicago,42.00033204888325::-87.66850568344039,23,1804
Conservation Levee Greenway L-35A,Miami,26.40128558370417::-80.17649918716037,10,262
80th Street,New York,40.6457236371208::-73.9174010170854,7,3502
Bayshore Boulevard,San Francisco,37.65977088280911::-122.3942290156639,36,3028
Gowanus Power Plant,New York,40.72203248639492::-73.89934919838352,7,2976
West Wheatland Road,Dallas,32.93253245738965::-97.01972631939043,1,1756
Florida Mango Road,Miami,26.64032208386326::-80.27584719193865,7,375
Sonic,Dallas,32.8652453191811::-96.74227744849883,7,2219
Southwest 110th Street Circle North,Miami,26.19178938687028::-80.19438672218391,2,2513
Sequoia Avenue,Los Angeles,34.26296906852804::-118.916199963898,7,90
Church Street,Chicago,41.95709930559717::-87.72896708120635,51,1177
Clement Street,San Francisco,37.72932170938753::-122.4218760371267,7,3452
Southeast 4th Street,Dallas,32.92414840788607::-96.94187090726746,25,2650
3832 North Odell Avenue,Chicago,41.99233575788618::-87.71443964977753,35,1258
6317 North Maplewood Avenue,Chicago,41.99906081199785::-87.74588107067001,7,3388
East Hill Homestyle Laundry,Seattle,47.68359956267963::-122.3622484157098,57,500
Balboa Boulevard,Los Angeles,33.97049156910635::-117.9983933902544,6,2383
5814 Preston Court,New York,40.71704299751893::-73.73967192844437,25,2266
Davidson Avenue,San Francisco,37.76434645099165::-122.5040965451485,5,1615
Breckenridge Boulevard,Dallas,32.7697430114492::-96.84625181557793,22,357
Flatbush Avenue,New York,40.66113713706451::-73.72258989518241,1,3719
Gladewater Drive,Dallas,33.01768480190371::-96.6924313153216,13,2482
Victor Avenue,Los Angeles,33.94163333972146::-118.1500875582361,27,3271
South Clark Street,Chicago,41.90111209493993::-87.77289597955775,44,240
Catherine Street,Dallas,33.00369417269791::-96.6777864176043,21,2714
Forest Hill Boulevard,Miami,26.42299978134817::-80.17696069787907,7,3412
Van Ruiten Street,Los Angeles,34.17998097145586::-118.763043385244,7,1514
Applegate Lane,Miami,26.21563206119051::-80.2607568993018,14,2635
Service Area Road,Los Angeles,34.2219677761105::-118.9630300462228,12,3167
Western Oaks Drive,Dallas,32.84460692259944::-96.87066665354467,5,3128
Pemberton Hill Road,Dallas,32.67629754218792::-97.13868362067299,21,3139
Crenshaw Drive,Dallas,32.83442948376795::-97.38457376866957,30,1676
Saint John's Hospital Queens Center,New York,40.69848633110977::-73.76002314062352,20,469
North Waller Avenue,Chicago,42.08868621989411::-87.96974730072661,31,2152
Laguna Honda Boulevard,San Francisco,37.78636015459937::-122.391781670478,30,1504
Divisadero Street,San Francisco,37.66083701846848::-122.416587408834,7,3545
North Saint Paul Street,Dallas,32.72486130035971::-96.72559310618148,39,1948
Carnation Avenue,New York,40.64420010406633::-73.9535404335392,7,2437
Eccles Avenue,San Francisco,37.72960047660697::-122.3636756721633,8,893
South 177th Court,Seattle,47.3287911606543::-122.2415574739963,7,1927
Dunes Road,Miami,26.65867949185096::-80.18983736082986,14,1733
2350 Ocean Avenue,New York,40.87435445272996::-73.85867664238931,23,993
Conservation Levee Greenway L-35A,Miami,26.01052644725813::-80.31427155794805,7,222
Lorentz Street,New York,40.72901622284387::-73.91971423529286,22,3444
South Laflin Street,Chicago,41.90541290448936::-87.63956098510722,7,2047
West Bowie Street,Dallas,33.13468478416983::-96.71876595951819,48,2117
21 Miami Court,New York,40.74657364841103::-73.8861830392358,7,3211
California Street,San Francisco,37.68818006261728::-122.4113045313564,18,3332
4379 West Ogden Avenue,Chicago,41.88501231611776::-87.66224728329902,52,2390
Greenleaf Street,Chicago,41.95277761812218::-87.77000713896408,7,1967
Fratessa Court,San Francisco,37.63412329122313::-122.4426078832777,35,3046
East Belt Line Road,Dallas,32.72667575228459::-97.33456322143526,7,3420
Belleview Street,Dallas,32.69914286304901::-96.98589400478559,32,2901
241st Street,New York,40.59295597256372::-73.95655379317866,5,3542
Moorpark Coll,Los Angeles,34.02569067711842::-118.252445316575,30,44
56th Road,New York,40.68325454590282::-73.81367830777613,25,131
Southwest 34th Street,Seattle,47.74078974546544::-122.3551250895722,7,1397
Southeast 221st Street,Seattle,47.80778412924634::-122.4039549252804,21,647
Southwest 87th Avenue,Miami,25.90264130730638::-80.35125148569638,26,2249
186 Greenpoint Avenue,New York,40.79000169908576::-73.8263243483208,7,934
Bautista Way,Seattle,47.34044922820554::-122.2027130265124,41,2827
Recognition Point Drive,Dallas,32.83340356082402::-96.70155578071079,27,2195
13th Avenue South,Seattle,47.68537384004316::-122.3213457451728,52,853
Beechwood Lane,Dallas,32.81715276672218::-96.78778964473676,31,1565
10th Street,San Francisco,37.74639147457876::-122.3825315340685,52,3204
2005 South Raymond Street,Seattle,47.638702479564::-122.2043570913774,7,281
Geranium Avenue,New York,40.76211555656784::-73.80622891763902,33,2578
Preston Road,Dallas,32.72140775657829::-96.99208440195825,7,2602
West Drive,Miami,26.0677140086542::-80.10666671991305,38,3261
Westside Trail,Seattle,47.80302698856695::-122.2295544210416,7,1093
South Mountain Road,Los Angeles,34.31168515020938::-118.8256130182302,57,3085
Hayvenhurst Avenue,Los Angeles,34.27626144513139::-119.101387652386,7,1684
Victory Avenue,San Francisco,37.78483503758817::-122.4703547206332,7,761
Avenue P,New York,40.62555479090427::-73.94323057684042,2,2603
Southwest 129th Avenue,Miami,26.07448042396475::-80.25256660454544,7,1357
West Walton Street,Chicago,41.90826038948308::-87.78771339863734,6,3414
East Sheridan Street,Miami,26.69159189864925::-80.1460009579384,28,1706
Old Navy,Miami,26.65994701167158::-80.08817868317111,16,3054
17th Avenue North,Miami,25.6031558541651::-80.36524583099585,7,3395
West Eastman Street,Chicago,42.05909448088681::-87.89805982426363,29,1753
Camino Magenta,Los Angeles,34.29248743753804::-118.615442144491,32,1940
3840 White Plains Road,New York,40.6725276013299::-73.72188486439588,32,864
Highway 99,Seattle,47.51940226848395::-122.1994509312893,28,1119
93-25 215th Place,New York,40.72953084003457::-73.93473867942443,7,3623
12th Avenue Northwest,Seattle,47.37146043971255::-122.2035653709541,0,1391
South 176th Street,Seattle,26.87100400100109::-80.0699712077722,7,2352
3601-3603 South Union Avenue,Chicago,41.95325390366435::-87.68854642906265,7,3415
Southeast 51st Street,Seattle,47.76005551131297::-122.3430939090779,45,820
Ferris Road,Los Angeles,34.27356302026981::-119.0884299418584,32,545
